127.0.0.1 - - [16/Apr/2021:18:44:31 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:44:33 +0800] "GET /dataStructure/main/index.jsp HTTP/1.1" 200 8961
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:44:33 +0800] "GET /dataStructure/css/global.css HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:44:33 +0800] "GET /dataStructure/js/global.js HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:44:33 +0800] "GET /dataStructure/main/hello.html HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:44:49 +0800] "GET /dataStructure/main/index.jsp HTTP/1.1" 200 8961
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:44:49 +0800] "GET /dataStructure/css/global.css HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:44:49 +0800] "GET /dataStructure/js/global.js HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:44:49 +0800] "GET /dataStructure/main/hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:44:49 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:46:03 +0800] "GET /dataStructure/main/login.jsp HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:46:03 +0800] "GET /dataStructure/css/login.css HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:46:20 +0800] "POST /dataStructure/main/loginAcManageUserAction.action HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:46:31 +0800] "POST /dataStructure/main/loginAcManageUserAction.action HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:46:57 +0800] "GET /dataStructure/main/register.jsp HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:46:57 +0800] "GET /dataStructure/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:47:10 +0800] "GET /dataStructure/main/index.jsp HTTP/1.1" 200 8961
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:47:24 +0800] "GET /dataStructure/main/login.jsp HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:53:07 +0800] "GET /dataStructure/main/index.jsp HTTP/1.1" 200 8961
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:53:24 +0800] "GET /dataStructure/main/index.jsp HTTP/1.1" 200 8961
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:53:24 +0800] "GET /dataStructure/css/global.css HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:53:24 +0800] "GET /dataStructure/js/global.js HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:53:24 +0800] "GET /dataStructure/main/hello.html HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:53:48 +0800] "GET /dataStructure/main/login.jsp HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:53:48 +0800] "GET /dataStructure/css/login.css HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:53:50 +0800] "GET /dataStructure/main/register.jsp HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:53:50 +0800] "GET /dataStructure/js/login.js HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:54:07 +0800] "POST /dataStructure/main/registerAcManageUserAction.action HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:54:17 +0800] "POST /dataStructure/main/loginAcManageUserAction.action HTTP/1.1" 200 9049
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:54:22 +0800] "GET /dataStructure/animation/search/halfSearch/halfSearch.html HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:54:22 +0800] "GET /dataStructure/animation/search/halfSearch/searchPlayer.css HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:54:22 +0800] "GET /dataStructure/animation/search/halfSearch/halfSearch.js HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:54:22 +0800] "GET /dataStructure/css/Player.css HTTP/1.1" 200 1218
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:54:46 +0800] "POST /dataStructure/main/findAlgoAcManageAlgorithmAction.action HTTP/1.1" 200 9197
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:54:48 +0800] "GET /dataStructure/animation/sort/bubbleSort/bubbleSort.html HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:54:48 +0800] "GET /dataStructure/animation/sort/bubbleSort/bubbleSort.js HTTP/1.1" 200 5796
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:55:40 +0800] "GET /dataStructure/main/mine.jsp HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:55:40 +0800] "GET /dataStructure/js/mine.js HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [16/Apr/2021:18:55:40 +0800] "GET /dataStructure/css/mine.css HTTP/1.1" 200 1804
